sample_id	ecotype	call_rate_before_snp_filter	call_rate_after_snp_filter
SRR18116353	NN	1.0	1.0
SRR18116354	NN	1.0	1.0
SRR18116355	NN	1.0	1.0
SRR18116356	NN	1.0	1.0
SRR18116357	NN	1.0	1.0
SRR18116358	NN	1.0	1.0
SRR18116359	NN	1.0	1.0
SRR18116360	NN	1.0	1.0
SRR18116362	NN	1.0	1.0
SRR18116363	NN	1.0	1.0
SRR18116487	NN	1.0	1.0
SRR18116488	NN	1.0	1.0
SRR18116489	NN	1.0	1.0
SRR18116490	NN	1.0	1.0
SRR18116492	NN	1.0	1.0
SRR18116493	NN	1.0	1.0
SRR18116361	EC	1.0	1.0
SRR18116372	EC	1.0	1.0
SRR18116383	EC	1.0	1.0
SRR18116436	EC	1.0	1.0
SRR18116459	EC	1.0	1.0
SRR18116470	EC	1.0	1.0
SRR18116491	EC	1.0	1.0
SRR18116526	EC	1.0	1.0
SRR18116537	EC	1.0	1.0
SRR18116548	EC	1.0	1.0
SRR18116567	EC	1.0	1.0
SRR18116578	EC	1.0	1.0
SRR18116589	EC	1.0	1.0
SRR18116623	EC	1.0	1.0
SRR18116624	EC	1.0	1.0
SRR18116625	EC	1.0	1.0
SRR18116390	SG	1.0	1.0
SRR18116392	SG	1.0	1.0
SRR18116393	SG	1.0	1.0
SRR18116394	SG	1.0	1.0
SRR18116395	SG	1.0	1.0
SRR18116396	SG	1.0	1.0
SRR18116397	SG	1.0	1.0
SRR18116398	SG	1.0	1.0
SRR18116399	SG	1.0	1.0
SRR18116400	SG	1.0	1.0
SRR18116401	SG	1.0	1.0
SRR18116403	SG	1.0	1.0
SRR18116404	SG	1.0	1.0
SRR18116405	SG	1.0	1.0
SRR18116406	SG	1.0	1.0
SRR18116407	SG	1.0	1.0
SRR18116408	SG	1.0	1.0
SRR18116427	TL	1.0	1.0
SRR18116428	TL	1.0	1.0
SRR18116429	TL	1.0	1.0
SRR18116430	TL	1.0	1.0
SRR18116431	TL	1.0	1.0
SRR18116432	TL	1.0	1.0
SRR18116433	TL	1.0	1.0
SRR18116434	TL	1.0	1.0
SRR18116437	TL	1.0	1.0
SRR18116438	TL	1.0	1.0
SRR18116439	TL	1.0	1.0
SRR18116440	TL	1.0	1.0
SRR18116441	TL	1.0	1.0
SRR18116442	TL	1.0	1.0
SRR18116443	TL	1.0	1.0
SRR18116444	TL	1.0	1.0
SRR18116496	PB	1.0	1.0
SRR18116497	PB	1.0	1.0
SRR18116498	PB	1.0	1.0
SRR18116500	PB	1.0	1.0
SRR18116501	PB	1.0	1.0
SRR18116502	PB	1.0	1.0
SRR18116503	PB	1.0	1.0
SRR18116504	PB	1.0	1.0
SRR18116505	PB	1.0	1.0
SRR18116506	PB	1.0	1.0
SRR18116507	PB	1.0	1.0
SRR18116508	PB	1.0	1.0
SRR18116509	PB	1.0	1.0
SRR18116511	PB	1.0	1.0
SRR18116512	PB	1.0	1.0
SRR18116513	PB	1.0	1.0
SRR18116529	CF	1.0	1.0
SRR18116530	CF	1.0	1.0
SRR18116531	CF	1.0	1.0
SRR18116532	CF	1.0	1.0
SRR18116533	CF	1.0	1.0
SRR18116534	CF	1.0	1.0
SRR18116535	CF	1.0	1.0
SRR18116536	CF	1.0	1.0
SRR18116538	CF	1.0	1.0
SRR18116539	CF	1.0	1.0
SRR18116540	CF	1.0	1.0
SRR18116541	CF	1.0	1.0
SRR18116542	CF	1.0	1.0
SRR18116543	CF	1.0	1.0
SRR18116544	CF	1.0	1.0
SRR18116545	CF	1.0	1.0
SRR18116546	CF	1.0	1.0
SRR18116547	CF	1.0	1.0
SRR18116604	CH	1.0	1.0
SRR18116605	CH	1.0	1.0
SRR18116606	CH	1.0	1.0
SRR18116607	CH	1.0	1.0
SRR18116608	CH	1.0	1.0
SRR18116609	CH	1.0	1.0
SRR18116611	CH	1.0	1.0
SRR18116612	CH	1.0	1.0
SRR18116613	CH	1.0	1.0
SRR18116614	CH	1.0	1.0
SRR18116615	CH	1.0	1.0
SRR18116616	CH	1.0	1.0
SRR18116617	CH	1.0	1.0
SRR18116618	CH	1.0	1.0
SRR18116619	CH	1.0	1.0
SRR18116620	CH	1.0	1.0
