CHROM	start	end	n_snps
OZ241427.1	539681	539681	1
OZ241429.1	1505781	1505798	3
OZ241429.1	2713346	2713346	1
OZ241429.1	9125312	9125312	1
OZ241430.1	551352	551352	1
OZ241430.1	11248446	11248446	1
OZ241430.1	14047175	14047175	1
OZ241431.1	3567502	3567502	1
OZ241433.1	97089	97130	2
OZ241437.1	11990058	11990113	2
OZ241438.1	825081	825085	2
OZ241439.1	235826	235889	2
OZ241440.1	2923047	2923047	1
OZ241441.1	239912	239912	1
OZ241442.1	1859138	1859138	1
OZ241443.1	3393002	3393002	1
OZ241445.1	8967922	8967926	2
OZ241446.1	5183113	5183113	1
OZ241446.1	6999026	6999269	4
OZ241446.1	7729398	7729504	2
OZ241449.1	2138523	2138525	2
OZ241452.1	1915346	1915346	1
OZ241452.1	2008472	2008472	1
OZ241452.1	3779768	3779768	1
