CHROM	start	end	n_snps
OZ241426.1	3199891	3199891	1
OZ241427.1	6872114	6872114	1
OZ241428.1	4074659	4074659	1
OZ241429.1	3080924	3081050	2
OZ241429.1	4366067	4366067	1
OZ241431.1	13414964	13414977	2
OZ241433.1	12538956	12538965	2
OZ241434.1	6583596	6583596	1
OZ241436.1	8403378	8403378	1
OZ241439.1	6575646	6575689	2
OZ241441.1	417107	417107	1
OZ241442.1	3363991	3364095	2
OZ241445.1	5725517	5725517	1
OZ241446.1	1455595	1455595	1
OZ241446.1	3263119	3263119	1
OZ241446.1	6999240	6999240	1
OZ241447.1	826264	826264	1
OZ241447.1	1548995	1548995	1
OZ241449.1	8419275	8419334	3
OZ241451.1	4402939	4402977	2
