CHROM	start	end	n_snps
CBDAVF010000061.1	3586	3586	1
CBDAVF010000072.1	12638	12638	1
CBDAVF010000152.1	30218	30218	1
CBDAVF010000171.1	12498	12498	1
CBDAVF010000234.1	21660	21669	3
CBDAVF010000254.1	11612	11612	1
CBDAVF010000682.1	4822	4822	1
OZ241426.1	2747097	2747254	2
OZ241426.1	6424370	6424371	2
OZ241426.1	11054339	11054365	7
OZ241426.1	12768067	12768067	1
OZ241426.1	12988360	12989982	2
OZ241426.1	13593240	13593240	1
OZ241426.1	14682360	14682360	1
OZ241427.1	1369834	1369834	1
OZ241427.1	2150149	2150160	2
OZ241427.1	3419310	3419310	1
OZ241427.1	6320714	6320714	1
OZ241427.1	7178550	7178550	1
OZ241427.1	10237989	10237989	1
OZ241427.1	11097084	11097135	3
OZ241427.1	11998103	11998196	8
OZ241427.1	12558863	12558930	3
OZ241427.1	14939001	14939028	5
OZ241427.1	15428446	15428446	1
OZ241427.1	15561144	15561175	2
OZ241428.1	3214385	3214385	1
OZ241428.1	4061360	4061360	1
OZ241428.1	5241742	5241742	1
OZ241428.1	5461565	5461565	1
OZ241428.1	5964772	5964772	1
OZ241428.1	10457768	10457952	2
OZ241429.1	579053	579053	1
OZ241429.1	1418726	1418736	2
OZ241429.1	2296826	2296873	2
OZ241429.1	2352878	2352878	1
OZ241429.1	3283639	3283639	1
OZ241429.1	4416260	4416296	8
OZ241429.1	9105822	9105822	1
OZ241429.1	9627988	9627988	1
OZ241429.1	9891762	9891762	1
OZ241429.1	9972417	9972454	4
OZ241429.1	11875756	11875756	1
OZ241430.1	549618	551352	2
OZ241430.1	3422203	3422203	1
OZ241430.1	6046276	6046285	2
OZ241430.1	6814126	6814150	3
OZ241430.1	8116998	8116998	1
OZ241430.1	12296859	12296910	3
OZ241430.1	13616307	13616307	1
OZ241430.1	14526409	14526409	1
OZ241431.1	254281	254281	1
OZ241431.1	898158	898158	1
OZ241431.1	3362421	3362421	1
OZ241431.1	3524500	3524500	1
OZ241431.1	5579510	5579510	1
OZ241431.1	9540002	9540004	2
OZ241431.1	12154311	12154311	1
OZ241432.1	287355	287359	2
OZ241432.1	3447187	3447187	1
OZ241432.1	6614796	6614796	1
OZ241432.1	8613495	8613495	1
OZ241432.1	10929426	10929426	1
OZ241432.1	13508943	13508943	1
OZ241433.1	975678	975678	1
OZ241433.1	1566405	1566448	6
OZ241433.1	3704768	3704768	1
OZ241433.1	6933470	6933470	1
OZ241434.1	2881989	2882002	2
OZ241434.1	4532462	4532462	1
OZ241434.1	4730386	4730505	7
OZ241434.1	5266074	5266074	1
OZ241434.1	5844485	5844485	1
OZ241434.1	10444494	10444494	1
OZ241434.1	11916798	11916825	4
OZ241434.1	13045462	13045462	1
OZ241434.1	13246774	13246774	1
OZ241436.1	1581878	1581897	2
OZ241436.1	2948651	2948651	1
OZ241436.1	7139114	7139114	1
OZ241436.1	7724121	7724121	1
